User,Time,Comment
魔怪脑残粉四狗,2013-05-12 15:32:15,['“换车的终点站里准备回家的人们摩肩接踵，每个人的鞋子上都浸透着融化的雪水。空气很冷，透着下雪天里都市独有的味道。”“如果我和狗一样长着尾巴，肯定掩饰不住满心欢喜，乱摇个不停了。一边为自己不是狗而感到庆幸，一边又忍不住责怪自己的愚蠢。即使如此，和远野一起回家的时光却是那样的幸福。”']
Doublebitch,2008-11-24 16:14:03,['还是看不惯这种“纯爱”片']
草威,2011-03-05 23:46:49,['我上初中那阵儿，怎么啥都不懂']
摇尾巴,2016-11-20 09:24:09,['被吹过了']
Sylvieee,2016-12-13 21:13:12,['十三岁？？？纯爱世界一向不太懂']
fan,2009-07-29 22:05:00,['虽然是动画 但用光十分之考究，北影教授都拿来当案例了，无论如何这片是给有故事的人看的，没故事的定然会觉得时间带着明显的恶意在身体缓缓流过，并且被小正太温柔缱绻的内心独白给酸到。诶···我说你们才13岁，谈个恋爱要不要那么有意境啊```']
昑罗,2011-11-27 16:43:58,['曾经纯真的感情并不会随着时间的流失而消逝，即便这种感情因为种种原因没有得到完成，但它必定会是心里美丽的一段回忆。而龟缩于以往的美好希冀中，不敢接受新的幸福，只会使心越来越苍老，最后慢慢死去。回忆像酒，少许你便可觉得那其中的甘美，如果滥喝沉迷其中，只是一个神智不清的酒徒。']
弓长大火乍,2013-09-04 23:17:19,['最喜欢第二个故事。人人都天生注定找到自己的另一半，带给你永远的安宁和能量，有的人错过了，有的人抓住了，有的人遇到的太早，有的人遇到的太迟。没有手机通讯只有写书信的日子，大家还记得吗？还记得自己写过的信吗？小心翼翼的措辞，精心挑选的信纸，在午后在深夜认真的写信的岁月一去不复还了']
我是大皮哥,2012-11-16 05:25:35,[]
Skybow,2010-04-13 13:29:03,['[10.04.12～13]★★★☆第一次看新海诚的动画。剧情很跳跃，甚至都不能说是一个完整的故事，只是简单地把主角人生中三个跟初恋有关的片段串联在一起，很多细节都没有交代，任由观众自由想象。对剧情不是很感冒，为赋新词强说愁，最后的微笑更像是个反讽，但意境和氛围都是我喜欢的调调。']
User,Time,Comment
孤岛,2011-08-10 11:45:08,['老早之前看的......完全都忘了故事在讲什么的......不过新海诚东西就是这样，根本就不用看剧情是什么，看画面不用动脑子就好了.......甜腻哀伤作的一塌糊涂......反正我是相当不喜欢，不过比起后来看的他那个大高塔，这部已经算是有剧情的了........']
八月,2011-10-13 22:34:51,['渐入佳境的片子，画风很美，配乐很赞，樱花能以5厘米的速度掉下，两颗心又需要多长的时间才能靠近呢？既然不能在一起，不如相忘于江湖吧！']
绿蚁酿新酒,2013-10-04 10:38:47,['走在路上，下意识地会去寻找某个人，或者总是觉得有路人和那人相似，虽然明知道他不会在这里出现，却仍然会望过去，发下呆。然后会笑自己。']
sirius_flower,2013-04-12 23:08:11,[]
玎洁,2010-04-10 10:06:33,['张歌再次进入我的生活。写下推荐你看秒速五厘米。我彷徨而不知所措的笑了。不知道怎么回答。却还是写下呵呵。知道了。天天说的对他是怎么对我的。为什么我还是选择了原谅。我是sb。关于这部影片说实话他并不能感动我什么。因为在我眼里这些很俗气。只是最后的镜头。转过身去。注定的还是错过。']
il,2011-05-16 18:41:59,['所有的爱，爱，如果是真正的赤诚的无垢的爱，最美好的东西，那样的爱存在于捆绑一起的信徒间，然后他们一定能在某个空间在一起。可惜片中的空间里二人顺从本能趋于命的帆船摇摆，不付出迎接收获的应尽力气，把精力浸在停止成长的鸽灰色罗曼蒂克自我毁灭式忧愁里。少年少女啊要更重视你们小拇指间的红线']
百斩少女刘兔兔,2011-12-27 23:09:25,['2011.12.27 一直不敢去把它看完，是怕知道结局与以往一样的不完美，但是也无所谓了。既然不能永远在一起，起码有那么一段回忆：我们不顾一切只为了见到彼此，拥抱在一起。 我到底要用怎么样的速度生活才能与你再次相遇？？']
小学班草,2012-05-25 23:36:27,['矫情到每一帧画面都可以截下来做壁纸。一句台词拿来分享：明明只是平淡无奇的生活而已，悲伤却四处堆积。']
User,Time,Comment
小川   靜,2017-05-04 14:01:36,"['只是平凡地過著日子,悲傷就會聚集在四周.即使發了上千封短信,我們的距離也只拉近一厘米.櫻花花瓣飄落的速度,是秒速5厘米.在某一段時間裡,我也一直在尋找著誰,就算明知她不在那裏,卻總不經意地尋找著.新海誠總能把寂寞畫的寫的很美,淡淡的憂傷.你還記得你小時候的初戀或暗戀的那個人嗎??']"
左在右边,2012-07-16 23:15:21,['時間是那段距離，生活是那道傷。初戀、單戀、懐念，六十分鐘三個故事。有人可能很受感動，也有人可能完全無感…其實在於觀者當時心境。不得不説畫面、剪輯非常美完全不像動畫片的動畫片！記得這半句台詞“我只是平凡的生活着，悲傷處處積纍…”']
夏天De西瓜,2010-03-06 21:56:07,['完美。第二个故事的表白那一段 印象极为深刻 不管怎样这3个故事都是那么纯洁的喜欢。 总之是我看到现在最为欣赏的一部动画电影。']
老狗,2011-11-24 20:19:44,['节奏拖拉，独白撑场；画风唯美，蓦然回忆的青涩情怀，腐女与正太的情愫花开。基本上靠完全唯美的壁纸连串起来。7.7分']
暂不留名,2012-09-14 23:32:22,['电影没有讲述一个完整的故事，尤其是角色的感情故事中最复杂、最现实的部分。只是在不断地制造想象和意象并且强化它们，意在挑拨观众内心的某根弦。观众的触动若不是来自自己的亲身经历，就只能是早已“消化吸收”了影片中符号化的人物和意象。']
Anderson,2012-04-30 00:58:30,['看這部的前一秒，我都完全沒有想過他能感動我。甚至讓我想到一部開往春天的地鐵。初中的時候，沒有即時聯繫的工具，戀人彼此的相信絕對是最重要的存在。讓我想起前幾天看過的一句話“幾十年前，人一輩子只够愛一個人。”我一直以為這是一部聊聊夢想之類不痛不癢的美作，但沒想到卻讓我觸景生情眼淚打轉']
梦里诗书,2015-06-23 16:28:24,['宛若画卷般至美的动画渲染营造了《秒速5厘米》那动人心魄的动容，电影借以一场纯爱之恋的浪漫呈现着青葱年华时对爱的无奈与感伤，动画与情感两相契合的惊艳，放才能让得见于“如果，樱花掉落的速度是每秒5厘米，那么两颗心需要多久才能靠近？”这落樱之美。']
白云飘飘,2018-06-11 22:24:01,['错过的总是觉得是最好的。青春的懵懂情感是最纯粹的。']
伞保护协会,2007-03-15 22:41:32,['开心~剧本再如何向现实低头，对剧中人也并不残酷。爱就是很盲目的，不遂人所愿但也不那么残酷。而动画甚至给擦肩而过的“命运”（其实并不存在）投下了浪漫明亮的光。然而你不知道观众中有多少富有投射性的幼小心灵（比如窝）。所以十年前最后一幕电车呼啸而过的仇，终归是想要报的。']
corrinne,2008-07-22 12:25:32,"['虽然是动画,情感的渲染却可以那么强悍.若生活在对过去的落寞感伤中,现实会把我们抛弃吧~而过去也乘着风的速度在某一个天明淡去了踪影~']"
麦克阿瑟,2011-08-09 22:25:08,['传说中樱花飘落的速度是每秒5厘米。每秒5厘米，很慢，却已无法阻止《樱花抄》，《Cosmonaut》，《秒速5cm》在一起，就是完整的《秒速5cm》。名字就很美']
超cute侠,2013-01-03 16:51:44,['画风美轮美奂，尤其是不少背景的还原度都趋于真实，相比之下故事就显得过于小清新了。']
ztlpoppy,2011-02-27 01:00:52,['一直不敢看的青春纯爱，怕是以一种嫉妒的心情的看，太美好了太唯美了。那个敢火车的冬天，初吻后 世界都变化的感觉，有点遥远 却也很接近。']
lily,2009-07-29 12:46:43,['2011.5.23  应该是第二次看，第一次看的时候还是在大学里，记不清是大几了，也不记得这动画到底是讲什么的。今天又看一遍，应该比当初感触的要深一些吧，有些人，再怎么努力，都找不到了。如果能发生奇迹的话，我想马上就见到你。']
斑马的故事,2017-03-28 08:54:42,[' 还记得樱花正开，还没懂跟你示爱']
支离破碎,2012-02-12 22:28:26,['完美画面，但也许先看了漫画的关系，感动和冲击反而少了，最动人的第一部分，动画采取了倒叙，而漫画则是一路顺序。漫画对第三部分有了见仁见智的补完，横竖是个遗憾却未必不好的结局。他们在樱花树下的初吻曾经把我煽出眼泪，看动画倒是没那么大感触。']
元帅,2010-11-16 01:17:36,['我们之间即使有一千次的邮件交流 大概心和心连一厘米都没有接近过。画面该是我看过的最漂亮的了吧']
Esther ☆o☆,2011-02-13 21:52:10,['因为明确彼此的心，所以那句喜欢你不必说出口。因为明确他的心，所以那句喜欢你没有说出口。那段不知能否称为爱情的记忆，那段无疾而终的暗恋，永远不会再说出口。秒速五厘米，何时能找到另外一颗心？']
麦,2010-08-17 21:57:24,['啧啧。看看人家，13岁就知道私定终身了，可惜了，早恋都是没有好结果的。']
蓝橄榄,2010-11-28 11:40:21,['四年后再看。情绪多过情节。一星给场景，有些场景精粗并在不太喜欢，人物画得不够精致。一星给部分镜头运动和视角度，个人认为动画应该是去实现实拍难以实现的镜头角度和运动才算是发挥所长了。内容上同理。最后一个镜头喜欢。']
User,Time,Comment
占朵,2009-06-26 21:02:50,['绚丽的画面 单纯的爱情 是让我触动的地方 那内心里小小的萌动 却带来了巨大的echo']
黄海,2013-04-06 18:54:06,['好久没有一部电影，因为爱情流泪了。它做到了！细节太有表现力了！构图，色彩超神！很有自信的一部作品！表现得非常明确，非常深入。这部作品尤其适合18岁以下看。要不然现在看会感觉独白有些矫情。']
悯笈,2012-11-03 14:24:24,['记得之前听过一支jazz-hiphop歌曲开头就是一顿纯咩咩的对白，原来是出自这部动画的开头啊！！']
Max,2008-01-03 19:53:38,[]
蓝雨笛,2012-01-04 19:56:47,['走在路上，下意识地会去寻找某个人，或者总是觉得有路人和那人相似，虽然，明知道Ta不会在这里出现，却仍然会望过去，发下呆。然后会笑自己。']
EL,2010-06-21 22:16:44,['這也太唯美了吧。原來她早已move on了，剩下的便只有你獨個呆站在原地，淡淡的遺憾感其實更適合應用在二人的關係之上']
基因冗长,2012-05-23 12:48:17,['有伤感有温暖，有痴缠也有荒诞，不去深究许多遗憾指能温暖还有留恋']
思鄉の風,2010-01-01 04:00:11,[]
UglY_MoNey,2012-08-16 13:54:38,['新海诚作品的背景碉堡了，新海诚作品的音乐都配的碉堡了～但是我实在不是他的故事情节的拥护，过于飘渺的爱情我承受不来啊。。。还有最后的片尾曲出现的也太突然了点吧，哈哈哈']
鬼腳七,2010-11-30 21:22:44,['有些事情，过去了就过去了，千万不要细想，一细想起来就是无休无止的不甘和怅然，就会在整个人生中变成触碰不得的东西']
夏小昭,2010-04-16 23:54:14,['唯美精致的画风。「命が繰り返すならば、何度も君のもとへ…欲しいものなど、もう何もない、君のほかに大切なものなど」…… まぁ、いいじゃない、I prefer not remember to forget']
ivauke,2012-05-25 19:42:15,['已经没有那样的心情说我爱你，真的，我曾经想像我们会怎样的分手，何时何地，我说什么你说什么，但是最后我们什么都没有说，一切不言——即使我再找到了你，也再也抓不住你']
0821,2011-02-27 06:17:15,"['画面很美.新海诚制作必属佳品.关于故事的内容,似乎是每个人必经的心路历程,深有感触.']"
憨大仁,2011-05-15 23:24:02,['对于初恋的片子我实在是没有太大共鸣～话说刚看到这片名的时候我还以为是科幻片～']
熊扑奶团、,2018-06-12 22:42:06,['真实的情况并非是这样，只是新海诚善于用细腻的情节，表现出人的内心最真实的一种成长感觉，我觉得这样的感觉也是非常不错的，只要善于把控，看到的将是最美好的。']
hey猪,2011-04-26 00:05:34,['所看的第一部新海诚的作品。如果，樱花掉落的速度是每秒五厘米，那么两颗心需要多久才能靠近？泛着淡淡的伤感。贵树的思念从没真正传达到。因为无法珍藏，所以无法相守。这份情感没有因距离却随时间而消逝，终将化为心中最美的回忆。其实是整个画面跟音乐最打动我。细节做得太完美了&gt;&lt;']
